timestamp,equipment_id,equipment_type,runtime_hours,temperature_c,vibration_mm_s,power_kw,pressure,health_score,anomaly,failure_risk
2024-01-01 00:00:00,EQ_M001,Compressor,10261.7,27.0,7.41,27.1,6.1,20.0,1,100.0
2024-01-01 00:00:00,EQ_M002,Water Pump,11996.7,30.9,8.0,17.17,2.95,20.0,1,100.0
2024-01-01 00:00:00,EQ_M003,Air Handler,9428.8,24.7,7.15,13.29,2.66,23.2,1,100.0
2024-01-01 00:00:00,EQ_B001,Compressor,6548.4,25.7,3.74,26.31,6.24,69.4,0,60.6
2024-01-01 00:00:00,EQ_B002,Water Pump,9006.6,23.6,6.66,15.03,3.31,29.9,1,100.0
2024-01-01 01:00:00,EQ_M001,Compressor,10262.4,25.1,7.97,23.72,6.59,20.0,1,100.0
2024-01-01 01:00:00,EQ_M002,Water Pump,11997.3,27.6,8.0,14.37,3.23,20.0,1,100.0
2024-01-01 01:00:00,EQ_M003,Air Handler,9429.6,24.1,7.33,13.81,3.21,22.6,1,100.0
2024-01-01 01:00:00,EQ_B001,Compressor,6549.0,25.4,3.76,24.4,6.33,69.3,0,60.7
2024-01-01 01:00:00,EQ_B002,Water Pump,9007.5,24.7,6.68,13.65,3.29,29.9,1,100.0
2024-01-01 02:00:00,EQ_M001,Compressor,10263.1,25.8,8.0,22.85,6.82,20.0,1,100.0
2024-01-01 02:00:00,EQ_M002,Water Pump,11998.1,29.0,8.0,13.68,2.74,20.0,1,100.0
2024-01-01 02:00:00,EQ_M003,Air Handler,9430.3,23.8,6.79,15.56,3.05,24.3,1,100.0
2024-01-01 02:00:00,EQ_B001,Compressor,6550.0,23.6,4.01,20.94,6.25,68.6,0,61.4
2024-01-01 02:00:00,EQ_B002,Water Pump,9008.4,24.2,6.38,13.77,3.04,30.8,1,99.2
2024-01-01 03:00:00,EQ_M001,Compressor,10263.8,23.3,7.3,19.97,6.57,20.0,1,100.0
2024-01-01 03:00:00,EQ_M002,Water Pump,11998.8,28.5,8.0,16.56,2.84,20.0,1,100.0
2024-01-01 03:00:00,EQ_M003,Air Handler,9431.1,24.2,7.08,11.93,2.89,23.4,1,100.0
2024-01-01 03:00:00,EQ_B001,Compressor,6550.7,25.5,3.8,21.41,6.54,69.2,0,60.8
2024-01-01 03:00:00,EQ_B002,Water Pump,9009.1,26.3,6.62,15.15,3.29,30.0,1,100.0
2024-01-01 04:00:00,EQ_M001,Compressor,10264.8,25.3,7.55,21.61,6.46,20.0,1,100.0
2024-01-01 04:00:00,EQ_M002,Water Pump,11999.6,28.0,8.0,14.43,2.95,20.0,1,100.0
2024-01-01 04:00:00,EQ_M003,Air Handler,9431.6,24.3,6.81,14.69,2.94,24.2,1,100.0
2024-01-01 04:00:00,EQ_B001,Compressor,6551.3,24.6,3.81,19.04,6.72,69.2,0,60.8
2024-01-01 04:00:00,EQ_B002,Water Pump,9009.8,25.0,7.0,14.36,3.03,28.9,1,100.0
2024-01-01 05:00:00,EQ_M001,Compressor,10265.6,23.5,7.5,23.18,6.28,20.0,1,100.0
2024-01-01 05:00:00,EQ_M002,Water Pump,12000.6,28.8,8.0,17.03,3.37,20.0,1,100.0
2024-01-01 05:00:00,EQ_M003,Air Handler,9432.2,25.0,7.13,15.9,3.23,23.2,1,100.0
2024-01-01 05:00:00,EQ_B001,Compressor,6551.9,24.4,3.99,21.19,6.72,68.6,0,61.4
2024-01-01 05:00:00,EQ_B002,Water Pump,9010.6,25.1,6.46,16.61,3.25,30.5,1,99.5
2024-01-01 06:00:00,EQ_M001,Compressor,10266.3,25.8,8.0,22.54,6.64,20.0,1,100.0
2024-01-01 06:00:00,EQ_M002,Water Pump,12001.4,28.8,8.0,13.11,3.26,20.0,1,100.0
2024-01-01 06:00:00,EQ_M003,Air Handler,9433.1,25.2,7.04,14.72,3.01,23.5,1,100.0
2024-01-01 06:00:00,EQ_B001,Compressor,6552.4,24.3,4.13,23.43,6.59,68.2,0,61.8
2024-01-01 06:00:00,EQ_B002,Water Pump,9011.1,25.8,7.0,17.05,2.85,28.9,1,100.0
2024-01-01 07:00:00,EQ_M001,Compressor,10267.0,24.4,7.14,21.78,6.69,20.0,1,100.0
2024-01-01 07:00:00,EQ_M002,Water Pump,12002.0,29.5,8.0,15.17,3.11,20.0,1,100.0
2024-01-01 07:00:00,EQ_M003,Air Handler,9433.9,25.3,7.17,16.25,3.05,23.1,1,100.0
