date,item_id,category,opening_stock,received_qty,consumed_qty,closing_stock,daily_usage,reorder_level,days_remaining,reorder_flag
2024-01-01,ITEM_FOOD001,Food & Supplies,1639.1,29.9,50.6,1618.3,50.64,100,32.0,0
2024-01-01,ITEM_FUEL001,Energy,1240.2,25000.0,464.8,10000.0,464.79,100,21.5,0
2024-01-01,ITEM_SPARE001,Spares,778.4,0.0,0.5,777.9,0.5,300,1544.8,0
2024-01-01,ITEM_SPARE002,Spares,1406.3,0.0,0.0,1406.3,0.0,300,999.0,0
2024-01-01,ITEM_MED001,Medical,1371.7,0.0,0.3,1371.4,0.25,100,5431.0,0
2024-01-02,ITEM_FOOD001,Food & Supplies,1618.3,8.3,42.6,1584.0,42.56,100,37.2,0
2024-01-02,ITEM_FUEL001,Energy,10000.0,0.0,425.1,9574.9,425.11,100,22.5,0
2024-01-02,ITEM_SPARE001,Spares,777.9,0.0,0.7,777.1,0.72,300,1080.4,0
2024-01-02,ITEM_SPARE002,Spares,1406.3,0.0,0.0,1406.3,0.0,300,999.0,0
2024-01-02,ITEM_MED001,Medical,1371.4,0.0,2.2,1369.3,2.16,100,634.1,0
2024-01-03,ITEM_FOOD001,Food & Supplies,1584.0,17.5,44.2,1557.3,44.25,100,35.2,0
2024-01-03,ITEM_FUEL001,Energy,9574.9,0.0,518.4,9056.5,518.44,100,17.5,0
2024-01-03,ITEM_SPARE001,Spares,777.1,25.7,0.0,802.9,0.0,300,999.0,0
2024-01-03,ITEM_SPARE002,Spares,1406.3,0.0,0.0,1406.3,0.0,300,999.0,0
2024-01-03,ITEM_MED001,Medical,1369.3,0.0,1.1,1368.1,1.14,100,1203.6,0
2024-01-04,ITEM_FOOD001,Food & Supplies,1557.3,20.2,50.7,1526.8,50.7,100,30.1,0
2024-01-04,ITEM_FUEL001,Energy,9056.5,0.0,469.6,8586.9,469.6,100,18.3,0
2024-01-04,ITEM_SPARE001,Spares,802.9,0.0,0.0,802.9,0.0,300,999.0,0
2024-01-04,ITEM_SPARE002,Spares,1406.3,0.0,0.0,1406.3,0.0,300,999.0,0
2024-01-04,ITEM_MED001,Medical,1368.1,0.0,0.7,1367.5,0.69,100,1996.0,0
2024-01-05,ITEM_FOOD001,Food & Supplies,1526.8,39.6,47.0,1519.4,47.02,100,32.3,0
2024-01-05,ITEM_FUEL001,Energy,8586.9,0.0,448.2,8138.6,448.22,100,18.2,0
2024-01-05,ITEM_SPARE001,Spares,802.9,0.0,2.3,800.6,2.25,300,355.7,0
2024-01-05,ITEM_SPARE002,Spares,1406.3,0.0,1.9,1404.4,1.86,300,754.9,0
2024-01-05,ITEM_MED001,Medical,1367.5,0.0,0.2,1367.2,0.25,100,5573.1,0
2024-01-06,ITEM_FOOD001,Food & Supplies,1519.4,26.9,46.9,1499.3,46.95,100,31.9,0
2024-01-06,ITEM_FUEL001,Energy,8138.6,0.0,377.4,7761.2,377.39,100,20.6,0
2024-01-06,ITEM_SPARE001,Spares,800.6,0.0,0.0,800.6,0.0,300,999.0,0
2024-01-06,ITEM_SPARE002,Spares,1404.4,0.0,0.0,1404.4,0.0,300,999.0,0
2024-01-06,ITEM_MED001,Medical,1367.2,0.0,0.1,1367.1,0.09,100,14699.9,0
2024-01-07,ITEM_FOOD001,Food & Supplies,1499.3,24.1,49.5,1473.9,49.46,100,29.8,0
2024-01-07,ITEM_FUEL001,Energy,7761.2,0.0,399.1,7362.2,399.07,100,18.4,0
2024-01-07,ITEM_SPARE001,Spares,800.6,0.0,0.0,800.6,0.0,300,999.0,0
2024-01-07,ITEM_SPARE002,Spares,1404.4,37.8,0.0,1442.2,0.0,300,999.0,0
2024-01-07,ITEM_MED001,Medical,1367.1,0.0,0.4,1366.7,0.42,100,3228.3,0
2024-01-08,ITEM_FOOD001,Food & Supplies,1473.9,21.5,42.4,1453.0,42.42,100,34.3,0
2024-01-08,ITEM_FUEL001,Energy,7362.2,0.0,434.8,6927.4,434.82,100,15.9,0
2024-01-08,ITEM_SPARE001,Spares,800.6,0.0,3.1,797.6,3.05,300,261.4,0
2024-01-08,ITEM_SPARE002,Spares,1442.2,0.0,2.5,1439.7,2.51,300,572.5,0
2024-01-08,ITEM_MED001,Medical,1366.7,0.0,1.8,1364.9,1.76,100,775.5,0
2024-01-09,ITEM_FOOD001,Food & Supplies,1453.0,9.3,39.2,1423.0,39.24,100,36.3,0
2024-01-09,ITEM_FUEL001,Energy,6927.4,0.0,444.5,6482.9,444.46,100,14.6,0
2024-01-09,ITEM_SPARE001,Spares,797.6,0.0,0.0,797.6,0.0,300,999.0,0
2024-01-09,ITEM_SPARE002,Spares,1439.7,0.0,0.0,1439.7,0.0,300,999.0,0
2024-01-09,ITEM_MED001,Medical,1364.9,0.0,1.0,1364.0,0.98,100,1395.1,0
2024-01-10,ITEM_FOOD001,Food & Supplies,1423.0,25.3,45.6,1402.7,45.61,100,30.8,0
2024-01-10,ITEM_FUEL001,Energy,6482.9,0.0,479.3,6003.6,479.27,100,12.5,0
2024-01-10,ITEM_SPARE001,Spares,797.6,0.0,2.1,795.5,2.09,300,381.3,0
2024-01-10,ITEM_SPARE002,Spares,1439.7,0.0,2.0,1437.7,1.98,300,726.8,0
2024-01-10,ITEM_MED001,Medical,1364.0,0.0,1.9,1362.1,1.87,100,728.5,0
2024-01-11,ITEM_FOOD001,Food & Supplies,1402.7,15.7,59.8,1358.6,59.76,100,22.7,0
2024-01-11,ITEM_FUEL001,Energy,6003.6,0.0,451.3,5552.3,451.3,100,12.3,0
2024-01-11,ITEM_SPARE001,Spares,795.5,0.0,0.0,795.5,0.0,300,999.0,0
2024-01-11,ITEM_SPARE002,Spares,1437.7,0.0,0.0,1437.7,0.0,300,999.0,0
2024-01-11,ITEM_MED001,Medical,1362.1,0.0,2.3,1359.8,2.31,100,587.7,0
2024-01-12,ITEM_FOOD001,Food & Supplies,1358.6,17.8,55.4,1321.0,55.39,100,23.9,0
2024-01-12,ITEM_FUEL001,Energy,5552.3,0.0,519.2,5033.2,519.16,100,9.7,0
2024-01-12,ITEM_SPARE001,Spares,795.5,0.0,2.8,792.7,2.79,300,284.4,0
2024-01-12,ITEM_SPARE002,Spares,1437.7,0.0,0.0,1437.7,0.0,300,999.0,0
2024-01-12,ITEM_MED001,Medical,1359.8,0.0,1.0,1358.7,1.04,100,1309.9,0
2024-01-13,ITEM_FOOD001,Food & Supplies,1321.0,25.8,48.5,1298.3,48.48,100,26.8,0
2024-01-13,ITEM_FUEL001,Energy,5033.2,0.0,472.6,4560.6,472.62,100,9.6,0
2024-01-13,ITEM_SPARE001,Spares,792.7,0.0,0.0,792.7,0.0,300,999.0,0
2024-01-13,ITEM_SPARE002,Spares,1437.7,0.0,1.8,1435.9,1.79,300,802.7,0
2024-01-13,ITEM_MED001,Medical,1358.7,0.0,1.0,1357.7,1.05,100,1293.7,0
2024-01-14,ITEM_FOOD001,Food & Supplies,1298.3,25.5,42.6,1281.2,42.57,100,30.1,0
2024-01-14,ITEM_FUEL001,Energy,4560.6,0.0,516.5,4044.0,516.52,100,7.8,0
2024-01-14,ITEM_SPARE001,Spares,792.7,0.0,0.0,792.7,0.0,300,999.0,0
2024-01-14,ITEM_SPARE002,Spares,1435.9,0.0,0.0,1435.9,0.0,300,999.0,0
2024-01-14,ITEM_MED001,Medical,1357.7,0.0,1.0,1356.7,1.03,100,1321.1,0
2024-01-15,ITEM_FOOD001,Food & Supplies,1281.2,22.8,41.3,1262.8,41.29,100,30.6,0
2024-01-15,ITEM_FUEL001,Energy,4044.0,25000.0,414.4,10000.0,414.36,100,24.1,0
2024-01-15,ITEM_SPARE001,Spares,792.7,0.0,0.0,792.7,0.0,300,999.0,0
2024-01-15,ITEM_SPARE002,Spares,1435.9,0.0,0.0,1435.9,0.0,300,999.0,0
2024-01-15,ITEM_MED001,Medical,1356.7,0.0,0.9,1355.8,0.89,100,1519.4,0
2024-01-16,ITEM_FOOD001,Food & Supplies,1262.8,28.8,37.3,1254.2,37.34,100,33.6,0
2024-01-16,ITEM_FUEL001,Energy,10000.0,0.0,370.2,9629.8,370.24,100,26.0,0
2024-01-16,ITEM_SPARE001,Spares,792.7,0.0,0.0,792.7,0.0,300,999.0,0
2024-01-16,ITEM_SPARE002,Spares,1435.9,0.0,0.0,1435.9,0.0,300,999.0,0
2024-01-16,ITEM_MED001,Medical,1355.8,0.0,0.8,1354.9,0.83,100,1628.4,0
2024-01-17,ITEM_FOOD001,Food & Supplies,1254.2,28.9,44.7,1238.4,44.74,100,27.7,0
2024-01-17,ITEM_FUEL001,Energy,9629.8,0.0,453.4,9176.4,453.4,100,20.2,0
2024-01-17,ITEM_SPARE001,Spares,792.7,0.0,0.0,792.7,0.0,300,999.0,0
2024-01-17,ITEM_SPARE002,Spares,1435.9,0.0,0.0,1435.9,0.0,300,999.0,0
2024-01-17,ITEM_MED001,Medical,1354.9,0.0,1.9,1353.1,1.85,100,731.2,0
2024-01-18,ITEM_FOOD001,Food & Supplies,1238.4,26.0,44.0,1220.4,44.01,100,27.7,0
2024-01-18,ITEM_FUEL001,Energy,9176.4,0.0,434.7,8741.7,434.7,100,20.1,0
2024-01-18,ITEM_SPARE001,Spares,792.7,0.0,0.0,792.7,0.0,300,999.0,0
2024-01-18,ITEM_SPARE002,Spares,1435.9,0.0,1.4,1434.6,1.35,300,1061.5,0
2024-01-18,ITEM_MED001,Medical,1353.1,0.0,2.0,1351.1,1.99,100,680.4,0
2024-01-19,ITEM_FOOD001,Food & Supplies,1220.4,8.6,47.4,1181.6,47.4,100,24.9,0
2024-01-19,ITEM_FUEL001,Energy,8741.7,0.0,464.5,8277.2,464.5,100,17.8,0
2024-01-19,ITEM_SPARE001,Spares,792.7,0.0,0.0,792.7,0.0,300,999.0,0
